Date,Close/Last,Volume,Open,High,Low
07/25/2024,$3.24,9339695,$3.17,$3.28,$3.14
07/24/2024,$3.17,7587490,$3.20,$3.20,$3.12
07/23/2024,$3.25,10708870,$3.34,$3.35,$3.205
07/22/2024,$3.41,3969045,$3.39,$3.42,$3.37
07/19/2024,$3.36,3818393,$3.37,$3.40,$3.34
07/18/2024,$3.34,5822709,$3.41,$3.43,$3.34
07/17/2024,$3.46,6373857,$3.43,$3.48,$3.42
07/16/2024,$3.48,8495354,$3.40,$3.49,$3.385
07/15/2024,$3.39,4020477,$3.35,$3.4267,$3.32
07/12/2024,$3.35,2447590,$3.32,$3.37,$3.30
07/11/2024,$3.31,3751207,$3.33,$3.3588,$3.31
07/10/2024,$3.33,5258121,$3.31,$3.33,$3.28
07/09/2024,$3.30,10479380,$3.24,$3.31,$3.22
07/08/2024,$3.24,3823412,$3.26,$3.27,$3.23
07/05/2024,$3.28,4742080,$3.30,$3.32,$3.25
07/03/2024,$3.35,2540831,$3.32,$3.3699,$3.32
07/02/2024,$3.26,4634296,$3.23,$3.275,$3.22
07/01/2024,$3.23,3299991,$3.30,$3.31,$3.23
06/28/2024,$3.30,7747489,$3.28,$3.31,$3.25
06/27/2024,$3.30,6804936,$3.30,$3.32,$3.24
06/26/2024,$3.30,8915219,$3.24,$3.31,$3.225
06/25/2024,$3.26,10651480,$3.28,$3.30,$3.22
06/24/2024,$3.29,10558480,$3.30,$3.315,$3.24
06/21/2024,$3.24,5850158,$3.18,$3.25,$3.165
06/20/2024,$3.16,8226997,$3.17,$3.25,$3.15
06/18/2024,$3.09,3428044,$3.13,$3.155,$3.08
06/17/2024,$3.09,5121839,$3.10,$3.10,$3.06
06/14/2024,$3.13,6605068,$3.13,$3.16,$3.12
06/13/2024,$3.19,4627140,$3.21,$3.2299,$3.16
06/12/2024,$3.19,11442970,$3.22,$3.25,$3.15
06/11/2024,$3.19,9346413,$3.12,$3.21,$3.10
06/10/2024,$3.13,3391269,$3.14,$3.16,$3.1101
06/07/2024,$3.16,6541021,$3.22,$3.22,$3.15
06/06/2024,$3.28,4824420,$3.23,$3.30,$3.23
06/05/2024,$3.23,7385327,$3.29,$3.29,$3.215
06/04/2024,$3.26,6332661,$3.28,$3.2875,$3.23
06/03/2024,$3.34,7197877,$3.39,$3.40,$3.33
05/31/2024,$3.46,11579130,$3.49,$3.49,$3.3997
05/30/2024,$3.49,2551648,$3.52,$3.55,$3.48
05/29/2024,$3.48,5964795,$3.48,$3.51,$3.44
05/28/2024,$3.54,6114788,$3.62,$3.63,$3.53
05/24/2024,$3.60,8944218,$3.63,$3.66,$3.5801
05/23/2024,$3.53,5181474,$3.56,$3.56,$3.505
05/22/2024,$3.55,16013720,$3.62,$3.63,$3.5439
05/21/2024,$3.63,14908200,$3.75,$3.78,$3.62
05/20/2024,$3.74,4402870,$3.78,$3.785,$3.71
05/17/2024,$3.84,5519623,$3.92,$3.955,$3.83
05/16/2024,$3.97,34068280,$3.93,$4.04,$3.862
05/15/2024,$3.86,25766010,$3.73,$3.87,$3.71
05/14/2024,$3.74,7654782,$3.77,$3.785,$3.72
05/13/2024,$3.72,6284084,$3.71,$3.75,$3.70
05/10/2024,$3.66,6770275,$3.74,$3.74,$3.65
05/09/2024,$3.72,6334704,$3.68,$3.76,$3.68
05/08/2024,$3.78,5194987,$3.72,$3.79,$3.72
05/07/2024,$3.79,8480918,$3.85,$3.88,$3.7409
05/06/2024,$3.83,10284550,$3.87,$3.90,$3.82
05/03/2024,$3.80,36452290,$3.77,$3.875,$3.77
05/02/2024,$3.61,6869332,$3.58,$3.64,$3.56
05/01/2024,$3.51,3605952,$3.50,$3.56,$3.48
04/30/2024,$3.48,7067553,$3.55,$3.56,$3.48
04/29/2024,$3.60,5260460,$3.60,$3.64,$3.59
04/26/2024,$3.61,6893670,$3.55,$3.63,$3.52
04/25/2024,$3.49,16358040,$3.48,$3.53,$3.4694
04/24/2024,$3.56,11504500,$3.68,$3.68,$3.53
04/23/2024,$3.66,9792343,$3.69,$3.735,$3.65
04/22/2024,$3.80,16111830,$3.66,$3.87,$3.6217
04/19/2024,$3.66,9290256,$3.57,$3.6999,$3.557
04/18/2024,$3.57,6896059,$3.61,$3.64,$3.55
04/17/2024,$3.575,8597534,$3.6667,$3.6667,$3.5667
04/16/2024,$3.5583,13790485,$3.575,$3.60,$3.5292
04/15/2024,$3.7167,25285309,$3.65,$3.7792,$3.6375
04/12/2024,$3.60,8261400,$3.725,$3.7333,$3.5833
04/11/2024,$3.7333,5703837,$3.725,$3.75,$3.6917
04/10/2024,$3.7417,9139523,$3.7417,$3.7917,$3.725
04/09/2024,$3.8167,10099716,$3.85,$3.8708,$3.7667
04/08/2024,$3.825,8490886,$3.80,$3.8667,$3.7917
04/05/2024,$3.75,9700202,$3.7917,$3.80,$3.6833
04/04/2024,$3.7917,18900433,$3.7333,$3.8833,$3.7208
04/03/2024,$3.7333,7918527,$3.675,$3.7333,$3.6333
04/02/2024,$3.6917,8526658,$3.675,$3.75,$3.6417
04/01/2024,$3.6667,4469280,$3.6833,$3.6958,$3.6417
03/28/2024,$3.6833,4597858,$3.6167,$3.6958,$3.6167
03/27/2024,$3.6583,6726129,$3.5583,$3.6917,$3.55
03/26/2024,$3.5583,6224549,$3.5667,$3.5883,$3.5333
03/25/2024,$3.5833,3949083,$3.575,$3.6167,$3.5588
03/22/2024,$3.5833,3171468,$3.6167,$3.6333,$3.575
03/21/2024,$3.6667,8994540,$3.625,$3.6917,$3.6083
03/20/2024,$3.6333,8131401,$3.55,$3.6417,$3.5417
03/19/2024,$3.5583,6124126,$3.5417,$3.5833,$3.525
03/18/2024,$3.525,8225840,$3.4833,$3.55,$3.4458
03/15/2024,$3.4667,12600181,$3.50,$3.5292,$3.425
03/14/2024,$3.5333,15026197,$3.6917,$3.70,$3.5102
03/13/2024,$3.6583,9010221,$3.575,$3.70,$3.5747
03/12/2024,$3.5667,10133870,$3.5667,$3.6125,$3.5421
03/11/2024,$3.5333,9632704,$3.5333,$3.5832,$3.5042
03/08/2024,$3.5333,8528528,$3.5167,$3.5333,$3.50
03/07/2024,$3.5333,4780133,$3.575,$3.5833,$3.525
03/06/2024,$3.5833,11245811,$3.6417,$3.6625,$3.5583
03/05/2024,$3.6083,8743008,$3.6417,$3.6625,$3.60
03/04/2024,$3.6667,5401265,$3.6917,$3.7308,$3.6667
03/01/2024,$3.7417,16072777,$3.725,$3.7417,$3.6917
02/29/2024,$3.5917,4796886,$3.5833,$3.6083,$3.5521
02/28/2024,$3.5833,6385551,$3.60,$3.6156,$3.55
02/27/2024,$3.625,5696961,$3.60,$3.6458,$3.5792
02/26/2024,$3.5333,6691995,$3.525,$3.5583,$3.50
02/23/2024,$3.5667,5755981,$3.60,$3.6125,$3.55
02/22/2024,$3.6083,8391383,$3.65,$3.6708,$3.60
02/21/2024,$3.65,18035785,$3.65,$3.7083,$3.6083
02/20/2024,$3.5917,9245141,$3.5583,$3.6083,$3.5375
02/16/2024,$3.5333,13184173,$3.50,$3.575,$3.50
02/15/2024,$3.4667,7830948,$3.475,$3.5208,$3.45
02/14/2024,$3.4583,8083148,$3.4667,$3.5217,$3.4417
02/13/2024,$3.4417,4441007,$3.525,$3.5329,$3.425
02/12/2024,$3.5667,2025995,$3.5333,$3.5875,$3.5292
02/09/2024,$3.525,4786576,$3.5583,$3.5667,$3.5083
02/08/2024,$3.55,4799785,$3.6333,$3.6333,$3.5417
02/07/2024,$3.65,4464598,$3.65,$3.6667,$3.6333
02/06/2024,$3.6583,5734701,$3.575,$3.675,$3.5667
02/05/2024,$3.5667,5888097,$3.575,$3.5833,$3.5042
02/02/2024,$3.60,5882221,$3.5833,$3.6167,$3.5583
02/01/2024,$3.55,6944806,$3.55,$3.5833,$3.5333
01/31/2024,$3.525,9032991,$3.5833,$3.6083,$3.525
01/30/2024,$3.5667,5232069,$3.5583,$3.5917,$3.5083
01/29/2024,$3.5833,7269208,$3.6667,$3.675,$3.575
01/26/2024,$3.70,5031083,$3.70,$3.725,$3.675
01/25/2024,$3.6917,7282065,$3.6583,$3.7083,$3.625
01/24/2024,$3.675,6176147,$3.70,$3.7083,$3.65
01/23/2024,$3.5667,4755348,$3.55,$3.5833,$3.5333
01/22/2024,$3.4917,6482325,$3.5167,$3.5583,$3.4667
01/19/2024,$3.575,8429027,$3.5333,$3.5917,$3.5208
01/18/2024,$3.5333,8749767,$3.5083,$3.5583,$3.4583
