Date,Close/Last,Volume,Open,High,Low
07/25/2024,$418.40,29943800,$428.80,$429.80,$417.51
07/24/2024,$428.90,26805800,$440.45,$441.48,$427.585
07/23/2024,$444.85,13107050,$443.895,$448.39,$443.10
07/22/2024,$442.94,15808760,$441.79,$444.60,$438.9125
07/19/2024,$437.11,20940420,$433.10,$441.14,$432.00
07/18/2024,$440.37,20794820,$444.34,$444.65,$434.40
07/17/2024,$443.52,21754020,$442.59,$444.85,$439.18
07/16/2024,$449.52,17175680,$454.22,$454.30,$446.66
07/15/2024,$453.96,14429450,$453.30,$457.26,$451.43
07/12/2024,$453.55,16324270,$454.325,$456.36,$450.645
07/11/2024,$454.70,23111180,$462.98,$464.78,$451.55
07/10/2024,$466.25,18196100,$461.22,$466.46,$458.855
07/09/2024,$459.54,17228510,$467.00,$467.33,$458.00
07/08/2024,$466.24,12962320,$466.55,$467.70,$464.46
07/05/2024,$467.56,16000290,$459.61,$468.35,$458.965
07/03/2024,$460.77,9932830,$458.19,$461.02,$457.88
07/02/2024,$459.28,13979780,$453.20,$459.59,$453.113
07/01/2024,$456.73,17662820,$448.66,$457.37,$445.66
06/28/2024,$446.95,28362270,$453.07,$455.38,$446.41
06/27/2024,$452.85,14806320,$452.175,$456.17,$451.77
06/26/2024,$452.16,16507030,$449.00,$453.60,$448.19
06/25/2024,$450.95,16747530,$448.25,$451.42,$446.75
06/24/2024,$447.67,15913720,$449.80,$452.75,$446.41
06/21/2024,$449.78,34486170,$447.38,$450.58,$446.51
06/20/2024,$445.70,19877380,$446.30,$446.53,$441.27
06/18/2024,$446.34,17112500,$449.705,$450.14,$444.89
06/17/2024,$448.37,20790030,$442.585,$450.94,$440.72
06/14/2024,$442.57,13581990,$438.275,$443.1376,$436.721
06/13/2024,$441.58,15960570,$440.85,$443.39,$439.37
06/12/2024,$441.06,22366230,$435.32,$443.40,$433.25
06/11/2024,$432.68,14551100,$425.475,$432.82,$425.25
06/10/2024,$427.87,14003030,$424.70,$428.08,$423.89
06/07/2024,$423.85,13621650,$426.20,$426.28,$423.00
06/06/2024,$424.52,14861250,$424.01,$425.31,$420.58
06/05/2024,$424.01,16988040,$417.81,$424.08,$416.30
06/04/2024,$416.07,14348920,$412.43,$416.44,$409.675
06/03/2024,$413.52,17484680,$415.525,$416.43,$408.9234
05/31/2024,$415.13,47995250,$416.75,$416.75,$404.51
05/30/2024,$414.67,28424850,$424.30,$424.30,$414.24
05/29/2024,$429.17,15517130,$425.69,$430.94,$425.69
05/28/2024,$430.32,15718020,$429.63,$430.82,$426.60
05/24/2024,$430.16,11855290,$427.19,$431.055,$424.41
05/23/2024,$427.00,17211690,$432.97,$433.60,$425.424
05/22/2024,$430.52,18073700,$430.09,$432.41,$427.13
05/21/2024,$429.04,21453260,$426.825,$432.97,$424.85
05/20/2024,$425.34,16272140,$420.21,$426.77,$419.99
05/17/2024,$420.21,15352240,$422.54,$422.92,$418.025
05/16/2024,$420.99,17530050,$421.80,$425.42,$420.35
05/15/2024,$423.08,22239530,$417.90,$423.81,$417.27
05/14/2024,$416.56,15109310,$412.02,$417.49,$411.55
05/13/2024,$413.72,15440230,$418.01,$418.348,$410.82
05/10/2024,$414.74,13402280,$412.935,$415.38,$411.80
05/09/2024,$412.32,14689730,$410.57,$412.72,$409.10
05/08/2024,$410.54,11792310,$408.17,$412.23,$406.7132
05/07/2024,$409.34,20018230,$414.66,$414.67,$409.09
05/06/2024,$413.54,16996640,$408.76,$413.93,$406.3701
05/03/2024,$406.66,17446720,$402.28,$407.15,$401.86
05/02/2024,$397.84,17709360,$397.66,$399.93,$394.6515
05/01/2024,$394.94,23562480,$392.61,$401.7199,$390.31
04/30/2024,$389.33,28781370,$401.49,$402.16,$389.17
04/29/2024,$402.25,19582090,$405.25,$406.32,$399.19
04/26/2024,$406.32,29694650,$412.17,$413.00,$405.7601
04/25/2024,$399.04,40586450,$394.03,$399.8899,$388.03
04/24/2024,$409.06,15065330,$409.56,$412.47,$406.78
04/23/2024,$407.57,15734500,$404.235,$408.20,$403.06
04/22/2024,$400.96,20286880,$400.08,$402.85,$395.75
04/19/2024,$399.12,30565790,$404.03,$405.48,$397.77
04/18/2024,$404.27,21029920,$410.63,$411.89,$403.95
04/17/2024,$411.84,15855490,$417.25,$418.88,$410.33
04/16/2024,$414.58,16765620,$414.57,$418.40,$413.7301
04/15/2024,$413.64,20273540,$426.60,$426.82,$413.43
04/12/2024,$421.90,19253750,$424.05,$425.1794,$419.77
04/11/2024,$427.93,17966420,$425.82,$429.37,$422.36
04/10/2024,$423.26,16216580,$422.19,$424.03,$419.70
04/09/2024,$426.28,12512290,$426.44,$427.74,$421.62
04/08/2024,$424.59,14272390,$425.17,$427.28,$423.30
04/05/2024,$425.52,16554760,$420.01,$426.51,$418.32
04/04/2024,$417.88,19370880,$424.99,$428.67,$417.57
04/03/2024,$420.45,16502260,$419.73,$423.26,$419.085
04/02/2024,$421.44,17911990,$420.11,$422.38,$417.84
04/01/2024,$424.57,16315960,$423.95,$427.89,$422.22
03/28/2024,$420.72,21871160,$420.96,$421.87,$419.12
03/27/2024,$421.43,16704980,$424.44,$424.45,$419.01
03/26/2024,$421.65,16725650,$425.61,$425.99,$421.35
03/25/2024,$422.86,18060450,$425.24,$427.41,$421.61
03/22/2024,$428.74,17648470,$429.70,$429.86,$426.07
03/21/2024,$429.37,21296220,$429.83,$430.82,$427.16
03/20/2024,$425.23,17860090,$422.00,$425.96,$420.66
03/19/2024,$421.41,19837920,$417.83,$421.6656,$415.55
03/18/2024,$417.32,20105980,$414.25,$420.73,$413.78
03/15/2024,$416.42,45079900,$419.29,$422.60,$412.79
03/14/2024,$425.22,34157300,$420.24,$427.82,$417.99
03/13/2024,$415.10,17115930,$418.10,$418.18,$411.45
03/12/2024,$415.28,22457000,$407.62,$415.57,$406.79
03/11/2024,$404.52,16120750,$403.762,$405.68,$401.26
03/08/2024,$406.22,18002190,$407.96,$410.42,$404.33
03/07/2024,$409.14,18718480,$406.12,$409.78,$402.24
03/06/2024,$402.09,22344150,$402.97,$405.16,$398.39
03/05/2024,$402.65,26919180,$413.96,$414.25,$400.64
03/04/2024,$414.92,17595960,$413.44,$417.35,$412.32
03/01/2024,$415.50,17823450,$411.27,$415.87,$410.88
02/29/2024,$413.64,31947260,$408.64,$414.20,$405.92
02/28/2024,$407.72,13183130,$408.175,$409.30,$405.3201
02/27/2024,$407.48,14835830,$407.99,$408.32,$403.85
02/26/2024,$407.54,16193510,$411.455,$412.16,$407.36
02/23/2024,$410.34,16295880,$415.67,$415.86,$408.97
02/22/2024,$411.65,27009870,$410.19,$412.83,$408.57
02/21/2024,$402.18,18631070,$400.17,$402.29,$397.22
02/20/2024,$402.79,24307920,$403.24,$404.49,$398.01
02/16/2024,$404.06,22296500,$407.96,$408.29,$403.44
02/15/2024,$406.56,21825530,$408.14,$409.13,$404.29
02/14/2024,$409.49,20401190,$408.07,$409.84,$404.57
02/13/2024,$406.32,27824940,$404.94,$410.071,$403.39
02/12/2024,$415.26,21202920,$420.555,$420.74,$414.75
02/09/2024,$420.55,22032840,$415.25,$420.82,$415.09
02/08/2024,$414.11,21225260,$414.05,$415.56,$412.53
02/07/2024,$414.05,22340530,$407.44,$414.30,$407.40
02/06/2024,$405.49,18382620,$405.88,$407.97,$402.91
02/05/2024,$405.65,25352290,$409.90,$411.16,$403.99
02/02/2024,$411.22,28256670,$403.81,$412.65,$403.56
02/01/2024,$403.78,30657730,$401.83,$408.00,$401.80
01/31/2024,$397.58,47871100,$406.96,$415.32,$397.21
01/30/2024,$408.59,33477610,$412.26,$413.05,$406.4501
01/29/2024,$409.72,24510240,$406.06,$409.98,$404.33
01/26/2024,$403.93,17803270,$404.37,$406.17,$402.43
01/25/2024,$404.87,21021160,$404.32,$407.01,$402.5294
01/24/2024,$402.56,24866950,$401.54,$405.63,$400.45
01/23/2024,$398.90,20525880,$395.75,$399.38,$393.93
01/22/2024,$396.51,27016900,$400.02,$400.62,$393.59
01/19/2024,$398.67,29331140,$395.76,$398.67,$393.50
01/18/2024,$393.87,23392070,$391.72,$393.99,$390.12
01/17/2024,$389.47,22234110,$387.98,$390.11,$384.81
01/16/2024,$390.27,27202270,$393.66,$394.03,$387.6229
01/12/2024,$388.47,21661150,$385.49,$388.68,$384.65
01/11/2024,$384.63,27850850,$386.00,$390.68,$380.38
01/10/2024,$382.77,25514250,$376.37,$384.17,$376.32
01/09/2024,$375.79,20829950,$372.01,$375.99,$371.19
01/08/2024,$374.69,23133970,$369.30,$375.20,$369.01
01/05/2024,$367.75,21004580,$368.97,$372.06,$366.50
01/04/2024,$367.94,20901500,$370.665,$373.10,$367.17
01/03/2024,$370.60,23083470,$369.01,$373.2562,$368.51
01/02/2024,$370.87,25258630,$373.86,$375.90,$366.771
12/29/2023,$376.04,18730840,$376.00,$377.16,$373.48
12/28/2023,$375.28,14327010,$375.37,$376.458,$374.16
12/27/2023,$374.07,14905410,$373.69,$375.06,$372.8116
12/26/2023,$374.66,12673050,$375.00,$376.94,$373.50
12/22/2023,$374.58,17107480,$373.68,$375.18,$372.71
12/21/2023,$373.54,17708010,$372.56,$374.41,$370.04
12/20/2023,$370.62,26316650,$375.00,$376.03,$370.53
12/19/2023,$373.26,20603660,$371.49,$373.26,$369.84
12/18/2023,$372.65,21802880,$369.45,$373.00,$368.68
12/15/2023,$370.73,78502320,$366.85,$372.40,$366.28
12/14/2023,$365.93,43277460,$373.31,$373.76,$364.13
12/13/2023,$374.37,30955530,$376.02,$377.6361,$370.77
12/12/2023,$374.38,24838250,$370.85,$374.42,$370.46
12/11/2023,$371.30,27708760,$368.48,$371.60,$366.10
12/08/2023,$374.23,20154370,$369.20,$374.46,$368.23
12/07/2023,$370.95,23118860,$368.23,$371.4527,$366.32
12/06/2023,$368.80,21182070,$373.54,$374.18,$368.03
12/05/2023,$372.52,23065040,$366.45,$373.075,$365.621
12/04/2023,$369.14,32063310,$369.10,$369.52,$362.90
12/01/2023,$374.51,33040470,$376.76,$378.16,$371.31
11/30/2023,$378.91,30554420,$378.49,$380.09,$375.47
11/29/2023,$378.85,28963400,$383.76,$384.30,$377.44
11/28/2023,$382.70,20453110,$378.35,$383.00,$378.16
11/27/2023,$378.61,22179230,$376.78,$380.64,$376.20
11/24/2023,$377.43,10176650,$377.33,$377.97,$375.135
11/22/2023,$377.85,23361180,$378.00,$379.7899,$374.965
11/21/2023,$373.07,28423150,$375.67,$376.2215,$371.12
11/20/2023,$377.44,52528960,$371.22,$378.87,$371.00
11/17/2023,$369.85,40325370,$373.61,$374.37,$367.00
11/16/2023,$376.17,27182320,$370.96,$376.35,$370.18
11/15/2023,$369.67,26860100,$371.28,$373.13,$367.11
11/14/2023,$370.27,27683860,$371.01,$371.95,$367.3454
11/13/2023,$366.68,19986510,$368.22,$368.47,$365.90
11/10/2023,$369.67,28065160,$361.49,$370.10,$361.07
11/09/2023,$360.69,24847330,$362.30,$364.79,$360.362
11/08/2023,$363.20,26767830,$361.68,$363.87,$360.55
11/07/2023,$360.53,25833930,$359.40,$362.46,$357.63
11/06/2023,$356.53,23828300,$353.45,$357.54,$353.35
