Date,Close/Last,Volume,Open,High,Low
07/25/2024,$634.09,4554539,$641.00,$649.98,$621.7001
07/24/2024,$635.99,4888163,$635.74,$652.42,$632.6744
07/23/2024,$642.76,2463579,$647.50,$649.91,$641.0001
07/22/2024,$647.50,5219077,$639.50,$656.29,$632.60
07/19/2024,$633.34,9815631,$660.64,$678.97,$629.1201
07/18/2024,$643.04,7575763,$656.60,$657.0395,$639.165
07/17/2024,$647.46,4017277,$650.00,$650.45,$639.47
07/16/2024,$656.32,2685706,$661.80,$663.675,$649.13
07/15/2024,$656.45,3208763,$647.50,$667.54,$646.63
07/12/2024,$647.60,3355197,$652.75,$655.92,$643.7075
07/11/2024,$652.75,5111928,$672.485,$672.485,$647.44
07/10/2024,$677.65,2651928,$685.02,$687.22,$673.16
07/09/2024,$685.74,2599474,$690.00,$695.27,$684.72
07/08/2024,$685.74,1930786,$687.00,$688.86,$681.485
07/05/2024,$690.65,2659065,$682.51,$697.49,$677.23
07/03/2024,$682.51,1403545,$677.48,$683.7499,$675.50
07/02/2024,$679.58,2411426,$673.54,$681.74,$670.07
07/01/2024,$673.61,2212826,$674.89,$675.02,$663.78
06/28/2024,$674.88,3412391,$679.00,$687.00,$673.08
06/27/2024,$684.34,2404849,$679.35,$688.57,$678.14
06/26/2024,$677.69,3545815,$672.41,$682.96,$670.02
06/25/2024,$672.41,2278768,$673.44,$673.665,$662.30
06/24/2024,$669.02,3916335,$685.00,$685.50,$664.50
06/21/2024,$686.12,4557086,$683.26,$686.90,$678.10
06/20/2024,$679.03,2585089,$681.80,$689.88,$673.7203
06/18/2024,$685.67,2943775,$675.63,$687.06,$674.64
06/17/2024,$675.83,3631184,$669.11,$682.7099,$665.1101
06/14/2024,$669.38,4447116,$655.05,$675.58,$652.64
06/13/2024,$653.26,1863587,$644.00,$655.25,$642.35
06/12/2024,$650.06,2094381,$652.21,$655.78,$643.11
06/11/2024,$648.55,2167417,$640.72,$650.19,$640.52
06/10/2024,$644.50,2066759,$641.01,$644.79,$635.59
06/07/2024,$641.47,1876631,$649.38,$650.40,$640.2401
